title,tx_freq,rx_freq,tx_sub_audio(CTCSS=freq/DCS=number),rx_sub_audio(CTCSS=freq/DCS=number),tx_power(H/M/L),bandwidth(12500/25000),scan(0=OFF/1=ON),talk around(0=OFF/1=ON),pre_de_emph_bypass(0=OFF/1=ON),sign(0=OFF/1=ON),tx_dis(0=OFF/1=ON),mute(0=OFF/1=ON),rx_modulation(0=FM/1=AM),tx_modulation(0=FM/1=AM)
VHF SSTV,144500000,144500000,88500,88500,H,25000,1,0,0,1,0,0,0,0
VHF APRS,144800000,144800000,88500,88500,H,25000,1,0,0,1,0,0,0,0
VHF WX,144950000,144950000,88500,88500,H,25000,1,0,0,1,0,0,0,0
VHF CQ,145375000,145375000,88500,88500,H,25000,1,0,0,1,0,0,0,0
VHF CQ M,145500000,145500000,88500,88500,H,25000,1,0,0,1,0,0,0,0
VHF SOTA,145550000,145550000,88500,88500,H,25000,1,0,0,1,0,0,0,0
UHF APRS,432500000,432500000,88500,88500,H,25000,1,0,0,1,0,0,0,0
UHF CQ,433450000,433450000,88500,88500,H,25000,1,0,0,1,0,0,0,0
UHF CQ M,433500000,433500000,88500,88500,H,25000,1,0,0,1,0,0,0,0
,145212500,145212500,88500,88500,H,25000,1,0,0,1,0,0,0,0
,145225000,145225000,88500,88500,H,25000,1,0,0,1,0,0,0,0
,145250000,145250000,88500,88500,H,25000,1,0,0,1,0,0,0,0
,145262500,145262500,88500,88500,H,25000,1,0,0,1,0,0,0,0
,145275000,145275000,88500,88500,H,25000,1,0,0,1,0,0,0,0
,145300000,145300000,88500,88500,H,25000,1,0,0,1,0,0,0,0
,145312500,145312500,88500,88500,H,25000,1,0,0,1,0,0,0,0
,145325000,145325000,88500,88500,H,25000,1,0,0,1,0,0,0,0
,145350000,145350000,88500,88500,H,25000,1,0,0,1,0,0,0,0
,145362500,145362500,88500,88500,H,25000,1,0,0,1,0,0,0,0
VHF CQ,145375000,145375000,88500,88500,H,25000,1,0,0,1,0,0,0,0
,145387500,145387500,88500,88500,H,25000,1,0,0,1,0,0,0,0
,145400000,145400000,88500,88500,H,25000,1,0,0,1,0,0,0,0
,145412500,145412500,88500,88500,H,25000,1,0,0,1,0,0,0,0
,145425000,145425000,88500,88500,H,25000,1,0,0,1,0,0,0,0
,145437500,145437500,88500,88500,H,25000,1,0,0,1,0,0,0,0
,145450000,145450000,88500,88500,H,25000,1,0,0,1,0,0,0,0
,145462500,145462500,88500,88500,H,25000,1,0,0,1,0,0,0,0
,145475000,145475000,88500,88500,H,25000,1,0,0,1,0,0,0,0
,145487500,145487500,88500,88500,H,25000,1,0,0,1,0,0,0,0
VHF CQ M,145500000,145500000,88500,88500,H,25000,1,0,0,1,0,0,0,0
,145512500,145512500,88500,88500,H,25000,1,0,0,1,0,0,0,0
,145525000,145525000,88500,88500,H,25000,1,0,0,1,0,0,0,0
,145537500,145537500,88500,88500,H,25000,1,0,0,1,0,0,0,0
VHF SOTA,145550000,145550000,88500,88500,H,25000,1,0,0,1,0,0,0,0
,145562500,145562500,88500,88500,H,25000,1,0,0,1,0,0,0,0
,433400000,433400000,88500,88500,H,25000,1,0,0,1,0,0,0,0
,433412500,433412500,88500,88500,H,25000,1,0,0,1,0,0,0,0
,433425000,433425000,88500,88500,H,25000,1,0,0,1,0,0,0,0
,433437500,433437500,88500,88500,H,25000,1,0,0,1,0,0,0,0
UHF CQ,433450000,433450000,88500,88500,H,25000,1,0,0,1,0,0,0,0
,433462500,433462500,88500,88500,H,25000,1,0,0,1,0,0,0,0
,433475000,433475000,88500,88500,H,25000,1,0,0,1,0,0,0,0
,433487500,433487500,88500,88500,H,25000,1,0,0,1,0,0,0,0
UHF CQ M,433500000,433500000,88500,88500,H,25000,1,0,0,1,0,0,0,0
,433512500,433512500,88500,88500,H,25000,1,0,0,1,0,0,0,0
,433525000,433525000,88500,88500,H,25000,1,0,0,1,0,0,0,0
,433537500,433537500,88500,88500,H,25000,1,0,0,1,0,0,0,0
,433550000,433550000,88500,88500,H,25000,1,0,0,1,0,0,0,0
,433562500,433562500,88500,88500,H,25000,1,0,0,1,0,0,0,0
,433575000,433575000,88500,88500,H,25000,1,0,0,1,0,0,0,0
